imax    1     number of categories 
jmax    6     number of samples minus one 
kmax    *     number of nuisance parameters 
------------------------------------------------------------------------------- 
shapes * * htt_et.inputs-sm-7TeV.root $CHANNEL/$PROCESS $CHANNEL/$PROCESS_$SYSTEMATIC 
------------------------------------------------------------------------------- 
bin                                                 eleTau_0jet_high     
observation                                         1191                 
------------------------------------------------------------------------------- 
bin                                                 eleTau_0jet_high    eleTau_0jet_high    eleTau_0jet_high    eleTau_0jet_high    eleTau_0jet_high    eleTau_0jet_high    eleTau_0jet_high     
CMS_htt_ZLScale_etau_7TeV shape                     -                   -                   -                   -                   1.000               -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_9 shape     -                   -                   -                   -                   1.000               -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_10 shape    -                   -                   -                   -                   1.000               -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_11 shape    -                   -                   -                   -                   1.000               -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_14 shape    -                   -                   -                   -                   1.000               -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_15 shape    -                   -                   -                   -                   1.000               -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_16 shape    -                   -                   -                   -                   1.000               -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_17 shape    -                   -                   -                   -                   1.000               -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_18 shape    -                   -                   -                   -                   1.000               -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_19 shape    -                   -                   -                   -                   1.000               -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_20 shape    -                   -                   -                   -                   1.000               -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_21 shape    -                   -                   -                   -                   1.000               -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_22 shape    -                   -                   -                   -                   1.000               -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_23 shape    -                   -                   -                   -                   1.000               -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_24 shape    -                   -                   -                   -                   1.000               -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_25 shape    -                   -                   -                   -                   1.000               -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZL_bin_26 shape    -                   -                   -                   -                   1.000               -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_9 shape     -                   -                   -                   1.000               -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_10 shape    -                   -                   -                   1.000               -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_11 shape    -                   -                   -                   1.000               -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_12 shape    -                   -                   -                   1.000               -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_13 shape    -                   -                   -                   1.000               -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_14 shape    -                   -                   -                   1.000               -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_15 shape    -                   -                   -                   1.000               -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_16 shape    -                   -                   -                   1.000               -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_17 shape    -                   -                   -                   1.000               -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_18 shape    -                   -                   -                   1.000               -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_19 shape    -                   -                   -                   1.000               -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_20 shape    -                   -                   -                   1.000               -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_21 shape    -                   -                   -                   1.000               -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_22 shape    -                   -                   -                   1.000               -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_ZJ_bin_23 shape    -                   -                   -                   1.000               -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_8 shape      -                   -                   1.000               -                   -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_9 shape      -                   -                   1.000               -                   -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_10 shape     -                   -                   1.000               -                   -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_11 shape     -                   -                   1.000               -                   -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_12 shape     -                   -                   1.000               -                   -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_13 shape     -                   -                   1.000               -                   -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_14 shape     -                   -                   1.000               -                   -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_15 shape     -                   -                   1.000               -                   -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_16 shape     -                   -                   1.000               -                   -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_17 shape     -                   -                   1.000               -                   -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_18 shape     -                   -                   1.000               -                   -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_19 shape     -                   -                   1.000               -                   -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_20 shape     -                   -                   1.000               -                   -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_21 shape     -                   -                   1.000               -                   -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_22 shape     -                   -                   1.000               -                   -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_23 shape     -                   -                   1.000               -                   -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_24 shape     -                   -                   1.000               -                   -                   -                   -                    
CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_25 shape     -                   -                   1.000               -                   -                   -                   -                    
#CMS_htt_et_eleTau_0jet_high_7TeV_W_bin_26 shape     -                   -                   1.000               -                   -                   -                   -                    
